#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
137 0.043164 0.902483 0.024313 0.024313 0.024313 0.024313
138 0.043410 0.900773 0.024738 0.024738 0.024738 0.024738
139 0.043656 0.899060 0.025164 0.025164 0.025164 0.025164
140 0.043902 0.897345 0.025590 0.025590 0.025590 0.025590
141 0.044147 0.895628 0.026017 0.026017 0.026017 0.026017
142 0.044393 0.893909 0.026444 0.026444 0.026444 0.026444
143 0.044639 0.892191 0.026870 0.026870 0.026870 0.026870
144 0.044885 0.890472 0.027297 0.027297 0.027297 0.027297
145 0.045130 0.888755 0.027724 0.027724 0.027724 0.027724
146 0.045376 0.887040 0.028149 0.028149 0.028149 0.028149
147 0.045621 0.885327 0.028574 0.028574 0.028574 0.028574
148 0.045867 0.883618 0.028999 0.028999 0.028999 0.028999
149 0.046112 0.881913 0.029421 0.029421 0.029421 0.029421
150 0.046358 0.880214 0.029843 0.029843 0.029843 0.029843
151 0.046603 0.878520 0.030263 0.030263 0.030263 0.030263
152 0.046848 0.876833 0.030682 0.030682 0.030682 0.030682
153 0.047093 0.875153 0.031098 0.031098 0.031098 0.031098
154 0.047339 0.873481 0.031513 0.031513 0.031513 0.031513
155 0.047584 0.871819 0.031925 0.031925 0.031925 0.031925
156 0.047829 0.870166 0.032334 0.032334 0.032334 0.032334
157 0.048074 0.868523 0.032741 0.032741 0.032741 0.032741
158 0.048319 0.866892 0.033145 0.033145 0.033145 0.033145
159 0.048564 0.865272 0.033546 0.033546 0.033546 0.033546
160 0.048809 0.863666 0.033944 0.033944 0.033944 0.033944
161 0.049054 0.862072 0.034338 0.034338 0.034338 0.034338
162 0.049299 0.860493 0.034729 0.034729 0.034729 0.034729
163 0.049544 0.858929 0.035116 0.035116 0.035116 0.035116
164 0.049788 0.857380 0.035500 0.035500 0.035500 0.035500
165 0.050033 0.855847 0.035879 0.035879 0.035879 0.035879
166 0.050278 0.854330 0.036254 0.036254 0.036254 0.036254
167 0.050522 0.852831 0.036624 0.036624 0.036624 0.036624
168 0.050767 0.851350 0.036990 0.036990 0.036990 0.036990
169 0.051011 0.849887 0.037352 0.037352 0.037352 0.037352
170 0.051255 0.848443 0.037708 0.037708 0.037708 0.037708
171 0.051500 0.847019 0.038060 0.038060 0.038060 0.038060
172 0.051744 0.845614 0.038407 0.038407 0.038407 0.038407
173 0.051988 0.844230 0.038748 0.038748 0.038748 0.038748
174 0.052232 0.842866 0.039085 0.039085 0.039085 0.039085
175 0.052476 0.841523 0.039416 0.039416 0.039416 0.039416
176 0.052720 0.840202 0.039741 0.039741 0.039741 0.039741
177 0.052964 0.838903 0.040061 0.040061 0.040061 0.040061
178 0.053208 0.837625 0.040376 0.040376 0.040376 0.040376
179 0.053452 0.836370 0.040685 0.040685 0.040685 0.040685
180 0.053696 0.835137 0.040989 0.040989 0.040989 0.040989
181 0.053939 0.833926 0.041287 0.041287 0.041287 0.041287
182 0.054183 0.832738 0.041579 0.041579 0.041579 0.041579
183 0.054426 0.831573 0.041865 0.041865 0.041865 0.041865
184 0.054670 0.830430 0.042146 0.042146 0.042146 0.042146
185 0.054913 0.829310 0.042421 0.042421 0.042421 0.042421
186 0.055156 0.828213 0.042691 0.042691 0.042691 0.042691
187 0.055399 0.827138 0.042954 0.042954 0.042954 0.042954
188 0.055642 0.826085 0.043213 0.043213 0.043213 0.043213
189 0.055885 0.825055 0.043465 0.043465 0.043465 0.043465
190 0.056128 0.824046 0.043713 0.043713 0.043713 0.043713
191 0.056371 0.823059 0.043954 0.043954 0.043954 0.043954
192 0.056613 0.822093 0.044191 0.044191 0.044191 0.044191
193 0.056856 0.821148 0.044422 0.044422 0.044422 0.044422
194 0.057098 0.820223 0.044648 0.044648 0.044648 0.044648
195 0.057341 0.819318 0.044870 0.044870 0.044870 0.044870
196 0.057583 0.818433 0.045086 0.045086 0.045086 0.045086
197 0.057825 0.817566 0.045297 0.045297 0.045297 0.045297
198 0.058067 0.816718 0.045504 0.045504 0.045504 0.045504
199 0.058309 0.815887 0.045707 0.045707 0.045707 0.045707
200 0.058551 0.815073 0.045906 0.045906 0.045906 0.045906
201 0.058793 0.814275 0.046100 0.046100 0.046100 0.046100
202 0.059034 0.813493 0.046290 0.046290 0.046290 0.046290
203 0.059276 0.812726 0.046477 0.046477 0.046477 0.046477
204 0.059517 0.811972 0.046660 0.046660 0.046660 0.046660
205 0.059759 0.811231 0.046841 0.046841 0.046841 0.046841
206 0.060000 0.810502 0.047018 0.047018 0.047018 0.047018
207 0.060241 0.809784 0.047192 0.047192 0.047192 0.047192
208 0.060482 0.809076 0.047364 0.047364 0.047364 0.047364
209 0.060723 0.808378 0.047533 0.047533 0.047533 0.047533
210 0.060964 0.807688 0.047701 0.047701 0.047701 0.047701
211 0.061205 0.807004 0.047866 0.047866 0.047866 0.047866
212 0.061445 0.806327 0.048030 0.048030 0.048030 0.048030
213 0.061686 0.805655 0.048193 0.048193 0.048193 0.048193
