#Step_num time omega delta |10><10| |r0><r0| |d0><d0|
157 0.046018 0.882569 0.029259 0.029259 0.029259 0.029259
158 0.046264 0.880865 0.029682 0.029682 0.029682 0.029682
159 0.046510 0.879166 0.030103 0.030103 0.030103 0.030103
160 0.046756 0.877474 0.030523 0.030523 0.030523 0.030523
161 0.047002 0.875789 0.030940 0.030940 0.030940 0.030940
162 0.047248 0.874112 0.031356 0.031356 0.031356 0.031356
163 0.047493 0.872443 0.031770 0.031770 0.031770 0.031770
164 0.047739 0.870784 0.032181 0.032181 0.032181 0.032181
165 0.047985 0.869134 0.032590 0.032590 0.032590 0.032590
166 0.048230 0.867496 0.032996 0.032996 0.032996 0.032996
167 0.048476 0.865869 0.033399 0.033399 0.033399 0.033399
168 0.048721 0.864255 0.033798 0.033798 0.033798 0.033798
169 0.048967 0.862653 0.034195 0.034195 0.034195 0.034195
170 0.049213 0.861066 0.034588 0.034588 0.034588 0.034588
171 0.049458 0.859493 0.034977 0.034977 0.034977 0.034977
172 0.049704 0.857935 0.035362 0.035362 0.035362 0.035362
173 0.049949 0.856392 0.035744 0.035744 0.035744 0.035744
174 0.050194 0.854867 0.036121 0.036121 0.036121 0.036121
175 0.050440 0.853358 0.036494 0.036494 0.036494 0.036494
176 0.050685 0.851866 0.036862 0.036862 0.036862 0.036862
177 0.050930 0.850393 0.037226 0.037226 0.037226 0.037226
178 0.051176 0.848939 0.037586 0.037586 0.037586 0.037586
179 0.051421 0.847504 0.037940 0.037940 0.037940 0.037940
180 0.051666 0.846088 0.038289 0.038289 0.038289 0.038289
181 0.051911 0.844693 0.038634 0.038634 0.038634 0.038634
182 0.052156 0.843318 0.038973 0.038973 0.038973 0.038973
183 0.052401 0.841964 0.039307 0.039307 0.039307 0.039307
184 0.052647 0.840631 0.039636 0.039636 0.039636 0.039636
185 0.052892 0.839319 0.039959 0.039959 0.039959 0.039959
186 0.053137 0.838030 0.040276 0.040276 0.040276 0.040276
187 0.053382 0.836763 0.040588 0.040588 0.040588 0.040588
188 0.053626 0.835517 0.040895 0.040895 0.040895 0.040895
189 0.053871 0.834295 0.041196 0.041196 0.041196 0.041196
190 0.054116 0.833094 0.041491 0.041491 0.041491 0.041491
191 0.054361 0.831917 0.041781 0.041781 0.041781 0.041781
192 0.054606 0.830762 0.042065 0.042065 0.042065 0.042065
193 0.054851 0.829629 0.042343 0.042343 0.042343 0.042343
194 0.055095 0.828520 0.042615 0.042615 0.042615 0.042615
195 0.055340 0.827432 0.042882 0.042882 0.042882 0.042882
196 0.055585 0.826367 0.043143 0.043143 0.043143 0.043143
197 0.055829 0.825324 0.043399 0.043399 0.043399 0.043399
198 0.056074 0.824303 0.043649 0.043649 0.043649 0.043649
199 0.056319 0.823304 0.043894 0.043894 0.043894 0.043894
200 0.056563 0.822326 0.044134 0.044134 0.044134 0.044134
201 0.056808 0.821369 0.044368 0.044368 0.044368 0.044368
202 0.057052 0.820432 0.044597 0.044597 0.044597 0.044597
203 0.057296 0.819515 0.044821 0.044821 0.044821 0.044821
204 0.057541 0.818618 0.045040 0.045040 0.045040 0.045040
205 0.057785 0.817740 0.045255 0.045255 0.045255 0.045255
206 0.058029 0.816880 0.045465 0.045465 0.045465 0.045465
207 0.058274 0.816038 0.045670 0.045670 0.045670 0.045670
208 0.058518 0.815213 0.045871 0.045871 0.045871 0.045871
209 0.058762 0.814405 0.046068 0.046068 0.046068 0.046068
210 0.059006 0.813611 0.046261 0.046261 0.046261 0.046261
211 0.059250 0.812833 0.046451 0.046451 0.046451 0.046451
212 0.059495 0.812069 0.046637 0.046637 0.046637 0.046637
213 0.059739 0.811317 0.046819 0.046819 0.046819 0.046819
214 0.059983 0.810578 0.046999 0.046999 0.046999 0.046999
215 0.060227 0.809850 0.047176 0.047176 0.047176 0.047176
216 0.060471 0.809132 0.047350 0.047350 0.047350 0.047350
